Nombre_Archivo,Latencia_Promedio,Desviacion_Estandar
resultados.csv,,0
tracelb_130.104.228.159.csv,1.45322,1.98082
tracelb_185.131.204.20.csv,1.55273,2.08157
tracelb_5.161.76.19.csv,1.17197,1.8676
tracelb_80.77.4.60.csv,0.365779,0.944417
trace_-P_icmp_130.104.228.159.csv,1.76792,2.19711
trace_-P_icmp_185.131.204.20.csv,1.62542,2.13953
trace_-P_icmp_5.161.76.19.csv,1.98411,2.27553
trace_-P_icmp_80.77.4.60.csv,0.763557,1.5481
trace_-P_icmp-paris_130.104.228.159.csv,1.27332,2.02172
trace_-P_icmp-paris_185.131.204.20.csv,1.86603,2.01514
trace_-P_icmp-paris_5.161.76.19.csv,1.4197,2.08567
trace_-P_icmp-paris_80.77.4.60.csv,0.991229,1.699
trace_-P_tcp_130.104.228.159.csv,1.2312,1.90525
trace_-P_tcp_185.131.204.20.csv,1.52648,2.18873
trace_-P_tcp_5.161.76.19.csv,1.46085,2.00234
trace_-P_tcp_80.77.4.60.csv,1.47368,1.97302
trace_-P_tcp-ack_130.104.228.159.csv,2.13588,2.21379
trace_-P_tcp-ack_185.131.204.20.csv,1.6525,2.06836
trace_-P_tcp-ack_5.161.76.19.csv,1.57844,2.06663
trace_-P_tcp-ack_80.77.4.60.csv,1.67503,2.15501
trace_-P_udp_130.104.228.159.csv,1.71878,2.22834
trace_-P_udp_185.131.204.20.csv,1.20213,1.93936
trace_-P_udp_5.161.76.19.csv,1.36159,1.97913
trace_-P_udp_80.77.4.60.csv,1.44012,2.0534
trace_-P_udp-paris_130.104.228.159.csv,1.96486,2.22817
trace_-P_udp-paris_185.131.204.20.csv,1.62885,2.18568
trace_-P_udp-paris_5.161.76.19.csv,1.66916,2.21324
trace_-P_udp-paris_80.77.4.60.csv,0.947722,1.81519
