1	Dec  7, 2024 20:03:56.998871000 -03	192.168.1.95	5.161.76.19		8		0.000000000
2	Dec  7, 2024 20:03:57.014027000 -03	190.20.192.1,192.168.1.95	192.168.1.95,5.161.76.19		11,8		0.015156000
3	Dec  7, 2024 20:03:57.048424000 -03	192.168.1.95	5.161.76.19		8		0.034397000
4	Dec  7, 2024 20:03:57.073083000 -03	10.50.3.21,192.168.1.95	192.168.1.95,5.161.76.19		11,8		0.024659000
5	Dec  7, 2024 20:03:57.099140000 -03	192.168.1.95	5.161.76.19		8		0.026057000
6	Dec  7, 2024 20:03:57.103820000 -03	10.50.3.22,192.168.1.95	192.168.1.95,5.161.76.19		11,8		0.004680000
7	Dec  7, 2024 20:03:57.148331000 -03	192.168.1.95	5.161.76.19		8		0.044511000
10	Dec  7, 2024 20:04:02.150976000 -03	192.168.1.95	5.161.76.19		8		3.464296000
12	Dec  7, 2024 20:04:07.155313000 -03	192.168.1.95	5.161.76.19		8		4.469585000
13	Dec  7, 2024 20:04:12.159679000 -03	192.168.1.95	5.161.76.19		8		5.004366000
14	Dec  7, 2024 20:04:17.161035000 -03	192.168.1.95	5.161.76.19		8		5.001356000
17	Dec  7, 2024 20:04:22.165426000 -03	192.168.1.95	5.161.76.19		8		4.092463000
18	Dec  7, 2024 20:04:27.170260000 -03	192.168.1.95	5.161.76.19		8		5.004834000
19	Dec  7, 2024 20:04:32.174441000 -03	192.168.1.95	5.161.76.19		8		5.004181000
21	Dec  7, 2024 20:04:37.176467000 -03	192.168.1.95	5.161.76.19		8		4.117470000
22	Dec  7, 2024 20:04:37.311069000 -03	62.115.120.176,192.168.1.95	192.168.1.95,5.161.76.19		11,8		0.134602000
23	Dec  7, 2024 20:04:37.311189000 -03	192.168.1.95	5.161.76.19		8		0.000120000
24	Dec  7, 2024 20:04:37.521026000 -03	62.115.123.125,192.168.1.95	192.168.1.95,5.161.76.19		11,8		0.209837000
25	Dec  7, 2024 20:04:37.521261000 -03	192.168.1.95	5.161.76.19		8		0.000235000
26	Dec  7, 2024 20:04:37.656551000 -03	62.115.56.201,192.168.1.95	192.168.1.95,5.161.76.19		11,8		0.135290000
27	Dec  7, 2024 20:04:37.656631000 -03	192.168.1.95	5.161.76.19		8		0.000080000
30	Dec  7, 2024 20:04:37.789383000 -03	5.161.0.82,192.168.1.95	192.168.1.95,5.161.76.19		11,8		0.012325000
31	Dec  7, 2024 20:04:37.789560000 -03	192.168.1.95	5.161.76.19		8		0.000177000
32	Dec  7, 2024 20:04:42.793748000 -03	192.168.1.95	5.161.76.19		8		5.004188000
36	Dec  7, 2024 20:04:47.798207000 -03	192.168.1.95	5.161.76.19		8		0.182504000
37	Dec  7, 2024 20:04:47.938787000 -03	5.161.9.171,192.168.1.95	192.168.1.95,5.161.76.19		11,8		0.140580000
38	Dec  7, 2024 20:04:47.938953000 -03	192.168.1.95	5.161.76.19		8		0.000166000
41	Dec  7, 2024 20:04:52.943496000 -03	192.168.1.95	5.161.76.19		8		4.977391000
42	Dec  7, 2024 20:04:57.947885000 -03	192.168.1.95	5.161.76.19		8		5.004389000
43	Dec  7, 2024 20:05:02.952275000 -03	192.168.1.95	5.161.76.19		8		5.004390000
47	Dec  7, 2024 20:05:07.955647000 -03	192.168.1.95	5.161.76.19		8		1.700018000
57	Dec  7, 2024 20:05:12.959989000 -03	192.168.1.95	5.161.76.19		8		0.192015000
70	Dec  7, 2024 20:05:17.964338000 -03	192.168.1.95	5.161.76.19		8		0.412011000
71	Dec  7, 2024 20:05:22.968555000 -03	192.168.1.95	5.161.76.19		8		5.004217000
72	Dec  7, 2024 20:05:27.969082000 -03	192.168.1.95	5.161.76.19		8		5.000527000
74	Dec  7, 2024 20:05:32.972797000 -03	192.168.1.95	5.161.76.19		8		0.020690000
